time;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
12.066000;0.702293;13.315460;-1.480559;-1.382999;-0.487623;0.006872
12.227000;-1.932802;10.057034;1.694118;-2.745992;-0.702190;0.586736
12.347000;0.555135;7.915457;2.587240;0.052687;-0.087506;0.239765
12.507000;-1.188635;12.180065;7.503294;4.445572;1.112691;-0.115912
12.669000;-2.548954;10.639686;5.427520;2.902374;0.344070;-0.094226
12.789000;-1.263410;9.934999;1.146162;-1.852143;0.749074;-0.242972
12.949000;-0.538983;9.806984;0.364905;-0.644005;-0.135001;-0.074220
13.070000;-0.224925;10.569695;0.491725;-0.953255;-0.111483;-0.016341
13.229000;-2.366502;15.606587;-1.283151;-1.911092;-0.105069;0.122326
13.391000;-2.072783;8.349156;1.875973;-2.437047;-2.106721;0.324217
13.512000;-1.909472;12.214762;5.442475;3.016300;1.240973;-0.238848
13.672000;-0.050847;8.816954;7.942975;4.883410;2.117564;-0.138514
13.793000;-0.586840;10.993824;3.812963;-0.949590;0.842994;-0.370642
13.951000;-1.332204;9.501899;0.085543;-1.222647;0.283594;-0.272293
14.111000;-0.617946;10.135997;1.127618;-0.707993;-0.107970;0.004581
14.233000;1.008575;13.588840;-0.565304;-1.292591;-0.200669;0.050396
14.393000;-4.192823;11.528021;1.187438;-2.505311;-0.278555;0.611782
14.554000;-1.486541;7.567900;3.015555;-0.374155;-1.076955;0.817338
14.673000;-0.647857;12.544971;7.037292;4.370588;2.261881;0.163406
14.834000;0.909871;11.927025;4.114459;3.670231;1.756085;-0.171042
14.954000;-0.650848;10.161121;2.032703;-2.073429;0.762513;-0.543212
15.114000;-0.279362;9.732208;1.098904;-0.960586;0.187077;-0.199142
15.275000;0.394816;10.411171;1.022334;-0.765720;0.063072;-0.000153
15.394000;1.767698;13.249658;-3.430111;-1.330159;0.233198;0.177304
15.555000;-2.615355;8.621938;1.551147;-2.872288;-1.221272;0.626595
15.715000;-1.207777;10.350154;3.637689;1.327563;1.049925;0.494495
15.837000;-1.989034;9.178269;8.498708;5.355455;2.260201;0.213039
15.998000;1.124028;11.905489;5.022535;0.874759;-0.129351;-0.339641
16.119000;-0.287737;9.924232;1.056431;-1.770135;0.248928;-0.555887
16.278000;0.137587;10.168300;1.448256;-0.826043;-0.057727;-0.100640
16.436000;0.938585;12.466606;-0.561715;-1.083675;-0.051771;0.036805
16.557000;-5.653642;12.910475;2.170290;-2.385276;0.009316;0.633773
16.718000;-2.054238;7.892128;3.125026;-0.598495;-2.064724;0.672257
16.878000;-2.726023;13.045071;9.471989;4.165184;2.893516;0.363159
16.999000;0.324227;14.069798;5.711070;4.272850;2.843883;-0.388968
17.158000;0.101097;10.493126;2.800201;-2.220495;1.108720;-0.454789
17.279000;-0.287139;9.558728;0.681954;-0.838718;0.018937;-0.249386
17.439000;0.283549;10.631311;1.270589;-0.688292;-0.005192;0.012065
17.598000;1.040878;13.254443;-4.088736;-1.409113;0.174097;0.278707
17.719000;-2.562115;8.467003;2.598007;-3.072652;-1.706299;0.598495
17.880000;-2.542972;9.190832;5.638088;1.319927;1.603369;0.357814
18.040000;-1.380659;9.433105;8.258229;5.416084;3.254843;0.336281
18.160000;0.568894;10.290334;3.564109;1.060309;-0.415847;-0.647059
18.318000;-1.101895;9.891929;1.735395;-1.989130;1.106277;-0.165086
18.440000;-0.671187;9.996017;1.278964;-0.921796;0.124922;-0.065821
18.600000;-0.728016;10.927423;0.474377;-1.125672;-0.304669;-0.105680
18.760000;-2.327618;12.744173;2.578266;-2.364201;-0.311389;0.271071
18.881000;0.923630;7.062416;2.777469;-1.383762;-2.208431;-0.074831
19.042000;-0.691526;13.302897;5.822336;3.679547;1.098794;-0.689972
19.201000;1.421935;9.104691;4.121039;4.414418;0.674242;-0.317955
19.321000;-1.594816;10.399207;2.711666;-1.343904;0.078496;-0.366825
19.480000;-1.225125;9.800404;1.333999;-1.262200;0.039554;-0.245262
19.603000;-0.058026;10.211370;1.022334;-0.720668;-0.142790;-0.079871
19.763000;3.688536;14.105689;-2.389233;-1.172403;-0.267712;-0.140346
19.922000;-2.845664;9.812965;1.964507;-2.620459;-1.534493;0.093004
20.043000;-2.003989;10.628320;4.899902;1.391856;0.268781;0.392634
20.198000;-0.847059;8.912666;10.576875;5.395009;1.959045;-0.263436
20.359000;0.474975;11.173285;3.203990;0.022755;-0.077885;-0.361174
20.479000;-0.888934;9.804591;1.171885;-1.687821;0.364076;-0.241750
20.634000;-0.263211;9.980463;1.328017;-0.795805;0.207847;0.077122
20.794000;-0.223729;11.459826;0.371486;-1.073748;0.009621;0.035736
20.915000;-3.652644;13.692927;2.352743;-2.417041;0.018784;0.422108
21.070000;-0.180658;6.906284;2.567499;-1.488373;-3.094491;0.239306
21.231000;-0.724427;14.016557;8.188239;3.808745;1.797929;-0.497855
21.351000;-0.192622;12.043077;5.491528;4.882646;2.185065;-0.299171
21.511000;-0.454636;10.286744;2.180460;-2.064877;0.540005;-0.253815
21.667000;-0.890728;9.671191;0.972084;-1.001055;0.018631;-0.247248
21.787000;-0.058026;10.585249;0.993620;-0.831235;-0.252287;-0.135765
21.946000;3.033501;14.370096;-3.132205;-1.730123;0.003665;0.043066
22.103000;-1.233500;8.315059;2.231307;-3.118467;-2.651155;-0.097738
22.222000;-1.648655;11.962916;6.390631;2.595261;1.046718;0.269086
22.383000;-0.529412;9.751948;9.103494;5.734803;2.789974;-0.119730
22.538000;-0.175872;10.573285;3.531806;-1.015105;0.779464;-0.382096
22.659000;-0.321236;9.698111;1.261616;-1.431105;0.076816;-0.390648
22.819000;0.402592;10.154541;1.670190;-0.703411;-0.011148;0.058643
22.975000;1.930410;13.286148;-0.198006;-1.131322;0.208610;0.246637
