NaN,NaN,NaN
0,0,0
1.90805255002525e-10,2.17446282275237e-10,5.72286858129633e-10
9.03717613581915e-10,9.19988936034513e-10,2.64467682157303e-09
2.39147492906903e-09,2.11812887757248e-09,7.02682432830941e-09
4.96349201726525e-09,4.22838563359201e-09,1.43312815060025e-08
9.45904601453211e-09,8.35675518617213e-09,2.53773537055697e-08
1.51425683567898e-08,1.51925950350658e-08,4.09397480340161e-08
2.1485909895729e-08,2.42967435090316e-08,6.08512416702511e-08
3.07172619350086e-08,3.56727029618212e-08,8.5617977035453e-08
4.32017835675305e-08,5.06747355782935e-08,1.16703604401242e-07
5.89941570631339e-08,7.16472339282457e-08,1.54783732923002e-07
7.93985104602024e-08,9.84808555154105e-08,2.01786011634161e-07
1.06159923106891e-07,1.29521011091864e-07,2.58102282547759e-07
1.36984938351211e-07,1.67294236187861e-07,3.21803962726566e-07
1.69669587177866e-07,2.1590550907765e-07,3.9667688168737e-07
2.07272637143348e-07,2.69186224047615e-07,4.82213733159847e-07
2.55351097057976e-07,3.23733939772598e-07,5.77441815357479e-07
3.19178508466276e-07,3.9573637427259e-07,6.86073893110104e-07
3.94640993107883e-07,4.84935594387317e-07,8.06899717619395e-07
4.78563878640934e-07,5.95273744035875e-07,9.38221042922572e-07
5.70811822722621e-07,7.20952374994421e-07,1.08296965895417e-06
6.75423867664847e-07,8.55566244517226e-07,1.24526493062752e-06
8.1888050194025e-07,1.01994516946076e-06,1.42739777179981e-06
9.85721407461127e-07,1.20413965790011e-06,1.62393363843032e-06
1.15404662098503e-06,1.38566569919611e-06,1.83765320867099e-06
1.34395125175286e-06,1.59071077912972e-06,2.0674962788953e-06
1.54196072752014e-06,1.86467479871552e-06,2.310604745035e-06
1.79595172758614e-06,2.20725276292512e-06,2.57512357816047e-06
2.11550377389959e-06,2.58645036724257e-06,2.84805270152951e-06
2.45022525193812e-06,2.95993756791009e-06,3.12976339483154e-06
2.82741044227779e-06,3.42308364952426e-06,3.42146874035986e-06
3.2568440879045e-06,3.93782911002296e-06,3.74228787056845e-06
3.6942331431366e-06,4.51682243563854e-06,4.09520226312376e-06
4.1672108551149e-06,5.22453503400314e-06,4.43988786907393e-06
