time,seconds_elapsed,z,y,x
1740033505247786800,0.012786865234375,0.00447038235142827,-0.03906058520078659,-0.0857793539762497
1740033505257825500,0.022825439453125,0.00213558878749609,-0.026203906163573265,-0.0619903989136219
1740033505267865600,0.032865478515625,0.002445580903440714,-0.02358335629105568,-0.03459739312529564
1740033505277904600,0.042904541015625,0.002703641075640917,-0.01816621981561184,-0.011905129067599773
1740033505287944000,0.05294384765625,0.007910653948783875,-0.008730640634894371,0.0011776498286053538
1740033505297983000,0.06298291015625,0.01955559104681015,-0.005638711154460907,0.010130397975444794
1740033505308021800,0.073021728515625,0.018814433366060257,-0.005781722720712423,0.028979720547795296
1740033505318060800,0.083060791015625,0.018142251297831535,-0.00123783724848181,0.047619182616472244
1740033505328099800,0.093099853515625,0.021330589428544044,0.004972388036549091,0.05206852778792381
1740033505338139600,0.1031396484375,0.02118091844022274,0.014859107322990894,0.0531843900680542
1740033505348179000,0.113178955078125,0.02262861281633377,0.0085466168820858,0.05001283437013626
1740033505358217700,0.1232177734375,0.015331818722188473,-0.011051852256059647,0.03948668763041496
1740033505368256800,0.1332568359375,0.011261176317930222,-0.01619548164308071,0.013890515081584454
1740033505378295800,0.1432958984375,0.009380985051393509,-0.014435664750635624,-0.008889098651707172
1740033505388334800,0.1533349609375,0.012426042929291725,-0.0041044638492167,-0.022720757871866226
1740033505398375000,0.163375,0.01549214031547308,-0.0010327738709747791,-0.029559489339590073
1740033505408414000,0.1734140625,0.012537362985312939,-0.005047223065048456,-0.03007880598306656
1740033505418452700,0.18345263671875,0.012705408968031406,0.005923935677856207,-0.03287379443645477
1740033505428491800,0.19349169921875,0.010960505343973637,0.02082671783864498,-0.023267239332199097
1740033505438530800,0.20353076171875,0.013499030843377113,0.043228164315223694,-0.00333214714191854
1740033505448569900,0.21356982421875,0.014507570303976536,0.05555220693349838,0.018811238929629326
1740033505458609000,0.22360888671875,0.012064652517437935,0.05621640011668205,0.03797294944524765
1740033505468649000,0.23364892578125,0.010702178813517094,0.0561349093914032,0.04639599472284317
1740033505478687700,0.243687744140625,0.01618722639977932,0.06009689345955849,0.04633580520749092
1740033505488726800,0.253726806640625,0.01188036147505045,0.05300809070467949,0.04272988811135292
1740033505498765800,0.263765869140625,0.007931958884000778,0.0345422625541687,0.037940192967653275
1740033505508804900,0.273804931640625,0.006047772243618965,0.0005877596559002995,0.025365278124809265
1740033505518844000,0.283843994140625,0.007366569712758064,-0.03373825550079346,0.010267018340528011
1740033505528882700,0.293882568359375,0.007532218471169472,-0.051607001572847366,0.0012753878254443407
1740033505538922800,0.3039228515625,0.009526127018034458,-0.043411388993263245,-0.0002426139690214768
1740033505548961800,0.3139619140625,0.009190035983920097,-0.013197827152907848,-0.00012889699428342283
1740033505559000800,0.324000732421875,0.009035573340952396,0.013011938892304897,0.0032357405871152878
1740033505569040000,0.334039794921875,0.004304200876504183,0.02040194347500801,0.0030895331874489784
1740033505579079000,0.344078857421875,0.0019286612514406443,0.007424360606819391,-0.00615163566544652
1740033505589117700,0.35411767578125,0.0029473204631358385,-0.01673237420618534,-0.019344136118888855
1740033505599157800,0.36415771484375,0.0012266519479453564,-0.039630234241485596,-0.02546115219593048
1740033505609196800,0.37419677734375,0.004501008428633213,-0.048830121755599976,-0.022232601419091225
1740033505619235800,0.38423583984375,0.007964183576405048,-0.02316071279346943,-0.015112906694412231
1740033505629275000,0.39427490234375,0.010457701049745083,0.01901230774819851,-0.0031558459158986807
1740033505639313700,0.404313720703125,0.014082263223826885,0.04380207508802414,0.010427873581647873
1740033505649352700,0.414352783203125,0.013624732382595539,0.045101962983608246,0.02045414224267006
1740033505659392000,0.42439208984375,0.012294749729335308,0.03190839663147926,0.021338045597076416
1740033505669431800,0.434431884765625,0.010869958437979221,0.007762848399579525,0.01902136206626892
1740033505679470800,0.444470947265625,0.0076238312758505344,-0.00743234995752573,0.02189917303621769
1740033505689510000,0.454510009765625,0.006216883193701506,-0.00010839065362233669,0.020441358909010887
1740033505699548700,0.464548583984375,0.020871726796030998,0.004414722323417664,0.01907968521118164
1740033505709587700,0.474587646484375,0.01763172447681427,0.017003484070301056,0.02353701740503311
1740033505719627000,0.484626953125,0.011122692376375198,0.005360410548746586,0.02130209282040596
1740033505729666800,0.494666748046875,0.009424393996596336,-0.011263307183980942,0.01726793684065342
1740033505739705900,0.504705810546875,0.011627627536654472,-0.02816931903362274,0.012977317906916142
1740033505749745000,0.514744873046875,0.013467871583998203,-0.02094283141195774,0.010754643008112907
1740033505759783700,0.52478369140625,0.02010713331401348,0.016995495185256004,0.013914483599364758
1740033505769822700,0.53482275390625,0.02636715956032276,0.058875299990177155,0.016889501363039017
1740033505779862000,0.544862060546875,0.02930089645087719,0.07242439687252045,0.019058646634221077
1740033505789900800,0.55490087890625,0.02646969072520733,0.06302237510681152,0.01888953521847725
1740033505799940900,0.56494091796875,0.016598151996731758,0.026256371289491653,0.022069882601499557
1740033505809980000,0.57497998046875,0.004564125556498766,0.003197923768311739,0.04452246055006981
1740033505820018700,0.585018798828125,-0.0012277172645553946,0.04513285681605339,0.07890386879444122
1740033505830058000,0.59505810546875,0.00743208359926939,0.13684120774269104,0.11623526364564896
1740033505840096800,0.6050966796875,0.024417990818619728,0.21470804512500763,0.15238182246685028
1740033505850135800,0.6151357421875,0.03623709827661514,0.2517768442630768,0.17024922370910645
1740033505860176000,0.62517578125,0.0443916991353035,0.23856143653392792,0.17219120264053345
1740033505870214700,0.635214599609375,0.04475602135062218,0.1978992372751236,0.1660081446170807
