time,seconds_elapsed,z,y,x
1740113651732162300,0.018162353515625,0.09547112928628922,0.19299860658049584,-0.48217247212864456
1740113651742201300,0.028201416015625,0.05332125582098961,0.23981062663793562,-0.4334511113185435
1740113651752240400,0.038240478515625,-0.025463527080416676,0.2800543742209673,-0.34716925066001714
1740113651762279200,0.048279052734375,-0.016056231787800787,0.25821312929093837,-0.38839097642973064
1740113651772318500,0.058318359375,0.0026414567027823067,0.25253917530775066,-0.4491494330467656
1740113651782357200,0.068357177734375,-0.09568447977602482,0.23457272598445414,-0.5400371070003137
1740113651792396300,0.078396240234375,-0.06483633704781532,0.1146598138809204,-0.6207714530669153
1740113651802435300,0.088435302734375,0.022477202462719285,0.04633095854222774,-0.582740705358237
1740113651812474400,0.098474365234375,0.155763393163681,0.032934301352500917,-0.422909259038046
1740113651822514200,0.10851416015625,0.3935165027499199,-0.004182838642597198,-0.22108718493487683
1740113651832553500,0.118553466796875,0.4947440036058426,-0.060388125467300414,-0.134960441772826
1740113651842592300,0.12859228515625,0.4870528645813465,-0.15802432383298873,-0.2711384791744873
1740113651852631300,0.13863134765625,0.4292003950715065,-0.26811025392711163,-0.4354578845636919
1740113651862670300,0.14867041015625,0.2571966457247734,-0.29294366641044617,-0.42047713652029634
1740113651872709400,0.15870947265625,0.09673252752423286,-0.16874620885550976,-0.23553154281293973
1740113651882748400,0.16874853515625,0.10194412469267844,0.059327802759408944,-0.07629250942794606
1740113651892787200,0.178787109375,0.22384382669925687,0.1428852068901062,-0.03554375319853425
1740113651902826200,0.188826171875,0.2818611313819885,0.06484919652938842,-0.18372575132250785
1740113651912865300,0.198865234375,0.2935632596135139,-0.2836047601789236,-0.3817818604882806
1740113651922903600,0.208903564453125,0.3224070767819881,-0.5192360553056001,-0.5555335494808852
1740113651932942300,0.2189423828125,0.34806408060789107,-0.3886731543719768,-0.4815138986220583
1740113651942981400,0.2289814453125,0.27197803527116776,-0.06610650311410426,-0.36698213156759735
1740113651953020400,0.2390205078125,0.15585691666603088,0.10112228691577911,-0.4543954074088484
1740113651963059500,0.2490595703125,0.1230208149909973,0.1838976007580757,-0.6714554191868752
1740113651973098500,0.259098388671875,0.028330606949329373,0.1254699617087841,-0.9199447345819324
1740113651983137300,0.26913720703125,-0.16615034714341162,-0.05033201087713241,-0.9437971732039004
1740113651993176600,0.279176513671875,-0.20954291414618492,-0.018570260435342788,-0.7345484196987002
1740113652003215600,0.289215576171875,-0.032359131813049315,0.18518822509050367,-0.5432201574832201
1740113652013255400,0.29925537109375,-0.0691419252872467,0.35756022322773934,-0.5583184309590608
1740113652023294500,0.30929443359375,-0.03992284963217098,0.33944647438824177,-0.6153306502524764
1740113652033333500,0.31933349609375,0.08038461931347847,0.20131693759262562,-0.5575461679449305
1740113652043372300,0.329372314453125,0.049131398349138905,0.07828618572950363,-0.47251744915265587
1740113652053411600,0.33941162109375,0.02235679323673248,-0.011105915904045104,-0.437674939558655
1740113652063450400,0.349450439453125,-0.08820084602236747,-0.03243161252737045,-0.5302242996467277
1740113652073489400,0.359489501953125,-0.04772037620716728,0.07121405538618564,-0.599176876374334
1740113652083528400,0.369528564453125,-0.04066635690927505,0.2975695726454258,-0.6865924903031438
1740113652093567500,0.3795673828125,-0.18655366822481154,0.4537023836433887,-0.9555733165197073
1740113652103606500,0.3896064453125,-0.31250293788313865,0.4298994832515716,-1.0409089823693036
1740113652113645600,0.3996455078125,-0.4934557173609733,0.408848511916399,-0.8752807594038545
1740113652123684400,0.409684326171875,-0.5951274548530578,0.3087064682096243,-0.7168438361819833
1740113652133723400,0.419723388671875,-0.4663619587302208,0.11934592587053774,-0.5656630215682089
1740113652143762400,0.429762451171875,-0.25664018088579177,-0.13090952241420745,-0.5476239819327369
1740113652153801500,0.439801513671875,-0.1581903280496597,-0.3262427094221115,-0.6789322578735649
1740113652163840500,0.449840576171875,-0.015706103175878523,-0.3442459836244583,-0.821802851716429
1740113652173879300,0.45987939453125,-0.1811620383143425,-0.21303192530572412,-0.7932534874498843
1740113652183918600,0.469918701171875,-0.36493104425668715,-0.07416004571020603,-0.7160046088788657
1740113652193957600,0.47995751953125,-0.5467442399561405,-0.036442601734399796,-0.6528104860801249
1740113652203996400,0.489996337890625,-0.48528643943071365,-0.06708207014799118,-0.7123394374348223
1740113652214036500,0.500036376953125,-0.06236148050003685,-0.1720107636094093,-0.6528744181618094
1740113652224075500,0.510075439453125,0.05121463893055916,-0.21279987011551857,-0.3194351482991129
1740113652234114300,0.5201142578125,-0.11908349380837753,-0.24904198084175586,-0.17790228759972376
1740113652244153600,0.530153564453125,-0.375393986082077,-0.16676000347435474,-0.26590755625106394
1740113652254192400,0.5401923828125,-0.5112193375885487,-0.13132044130265713,-0.4226629195941612
1740113652264231400,0.5502314453125,-0.437864178520441,-0.18177052560150622,-0.6363932389602065
1740113652274270500,0.5602705078125,-0.175728322827816,-0.2385392915278673,-0.9743188604567199
1740113652284309500,0.5703095703125,-0.030798458367586132,-0.2189940485805273,-1.201876958438754
1740113652294348500,0.5803486328125,0.053286184507608414,-0.1072878238081932,-1.303987964130938
1740113652304387300,0.59038720703125,0.031956980752944945,0.00021685762107372282,-1.3045073118299244
1740113652314426400,0.60042626953125,-0.09716858998709357,0.13452011412680148,-1.0755092441726475
1740113652324465400,0.61046533203125,-0.1793406681060791,0.22606617892384528,-0.9197658708836883
1740113652334504400,0.62050439453125,-0.1573112071275711,0.23725451241433618,-0.9085848439168185
1740113652344543500,0.63054345703125,-0.29682722984552384,0.15783786135017872,-1.1438535162761807
